;c1;c2;simvalue
0;ALICEBLUE;ANILINE;0.690925842449367
1;ALICEBLUE;ANTIQUEWHITE;0.8804319426955043
2;ALICEBLUE;AQUA;0.7983717790641278
3;ALICEBLUE;AQUAMARINE;0.7867046989164083
4;ALICEBLUE;AZURE;0.9557625170001902
5;ALICEBLUE;BEIGE;0.8793755630565303
6;ALICEBLUE;BIRCH;0.8870214373305361
7;ALICEBLUE;BISQUE;0.8400004477287323
8;ALICEBLUE;BLACK;0.1759380143219501
9;ALICEBLUE;BLANCHEDALMOND;0.853231960541144
10;ALICEBLUE;BLUE;0.5114684259003717
11;ALICEBLUE;BLUE-GREEN;0.7372224865398177
12;ALICEBLUE;BLUEVIOLET;0.6041713483479457
13;ALICEBLUE;BROWN;0.5195910471889116
14;ALICEBLUE;BURLYWOOD;0.7726529730827215
15;ALICEBLUE;CADETBLUE;0.7464314825596148
16;ALICEBLUE;CHARTREUSE;0.6859888617552534
17;ALICEBLUE;CHOCOLATE;0.6330579673716691
18;ALICEBLUE;CORAL;0.6836049907709338
19;ALICEBLUE;CORNFLOWERBLUE;0.7444749301009961
20;ALICEBLUE;CORNSILK;0.8695729847061326
21;ALICEBLUE;CRIMSON;0.5727560634723934
22;ALICEBLUE;CYAN;0.7983717790641278
23;ALICEBLUE;DARKBLUE;0.32836917012457234
24;ALICEBLUE;DARKBROWN;0.49349400864257087
25;ALICEBLUE;DARKCYAN;0.6703554277160086
26;ALICEBLUE;DARKGOLDENROD;0.6477111573211252
27;ALICEBLUE;DARKGRAY;0.8364251937521395
28;ALICEBLUE;DARKGREEN;0.5105688468509357
29;ALICEBLUE;DARKKHAKI;0.7389872357521171
30;ALICEBLUE;DARKMAGENTA;0.517221853020712
31;ALICEBLUE;DARKOLIVEGREEN;0.5793272533599164
32;ALICEBLUE;DARKORANGE;0.6754104970326251
33;ALICEBLUE;DARKORCHID;0.615516336397435
34;ALICEBLUE;DARKRED;0.43389725678368574
35;ALICEBLUE;DARKSALMON;0.722105994779076
36;ALICEBLUE;DARKSEAGREEN;0.7626764904216372
37;ALICEBLUE;DARKSLATEBLUE;0.5116420671630073
38;ALICEBLUE;DARKSLATEGRAY;0.5237769370575136
39;ALICEBLUE;DARKTURQUOISE;0.7761808928374307
40;ALICEBLUE;DARKVIOLET;0.5808373286231412
41;ALICEBLUE;DEEPPINK;0.6399097627339588
42;ALICEBLUE;DEEPSKYBLUE;0.7811023549667939
43;ALICEBLUE;DIMGRAY;0.6533650942440065
44;ALICEBLUE;DODGERBLUE;0.7176550238850403
45;ALICEBLUE;FIREBRICK;0.5254141257697486
46;ALICEBLUE;FLORALWHITE;0.9226209306099026
47;ALICEBLUE;FORESTGREEN;0.6062475284920343
48;ALICEBLUE;FUCHSIA;0.7069532452696741
49;ALICEBLUE;GAINSBORO;0.9388615520025667
50;ALICEBLUE;GHOSTWHITE;0.9673585513733804
51;ALICEBLUE;GOLD;0.6962341224835682
52;ALICEBLUE;GOLDENROD;0.6854466533738584
53;ALICEBLUE;GRAY;0.7272567323704682
54;ALICEBLUE;GREEN;0.5740907133857436
55;ALICEBLUE;GREENYELLOW;0.6937669902296454
56;ALICEBLUE;HONEYDEW;0.9043541466394717
57;ALICEBLUE;HOTPINK;0.7104507352157227
58;ALICEBLUE;INDIANRED;0.6338031509266417
59;ALICEBLUE;INDIGO;0.39902736906026304
60;ALICEBLUE;IVORY;0.9100415564994268
61;ALICEBLUE;KHAKI;0.7593898739188689
62;ALICEBLUE;LAVENDER;0.9284154816241038
63;ALICEBLUE;LAVENDERBLUSH;0.9089071952724566
64;ALICEBLUE;LAWNGREEN;0.6859670179920236
65;ALICEBLUE;LEMONCHIFFON;0.8312269409783023
66;ALICEBLUE;LIGHTBLUE;0.8860522253734939
67;ALICEBLUE;LIGHTCORAL;0.6986923630911255
68;ALICEBLUE;LIGHTCYAN;0.9189326431818718
69;ALICEBLUE;LIGHTGOLDENRODYELLOW;0.8421445728486588
70;ALICEBLUE;LIGHTGREEN;0.7454819442805909
71;ALICEBLUE;LIGHTGREY;0.9238860148888128
72;ALICEBLUE;LIGHTPINK;0.7719765179475284
73;ALICEBLUE;LIGHTSALMON;0.7298116029660735
74;ALICEBLUE;LIGHTSEAGREEN;0.7382269134277246
75;ALICEBLUE;LIGHTSKYBLUE;0.8403341778654361
76;ALICEBLUE;LIGHTSLATEGRAY;0.7436733996620815
77;ALICEBLUE;LIGHTSTEELBLUE;0.8790117792755071
78;ALICEBLUE;LIGHTYELLOW;0.8635057811762892
79;ALICEBLUE;LIME;0.6825651531906589
80;ALICEBLUE;LIMEGREEN;0.6786634248536968
81;ALICEBLUE;LINEN;0.9134769546020516
82;ALICEBLUE;MAGENTA;0.7069532452696741
83;ALICEBLUE;MAROON;0.4119537560403598
84;ALICEBLUE;MEDIUMAQUAMARINE;0.7659749165197416
85;ALICEBLUE;MEDIUMBLUE;0.44206139273585554
86;ALICEBLUE;MEDIUMORCHID;0.6916066107316825
87;ALICEBLUE;MEDIUMPURPLE;0.7099629878726965
88;ALICEBLUE;MEDIUMSEAGREEN;0.7028582619527687
89;ALICEBLUE;MEDIUMSLATEBLUE;0.6844041087941366
90;ALICEBLUE;MEDIUMSPRINGGREEN;0.7331119347562787
91;ALICEBLUE;MEDIUMTURQUOISE;0.7828433867234604
92;ALICEBLUE;MEDIUMVIOLETRED;0.5911977530788097
93;ALICEBLUE;METAL;0.6836025959998066
94;ALICEBLUE;MIDNIGHTBLUE;0.34555184326124255
95;ALICEBLUE;MINTCREAM;0.9454530138577926
96;ALICEBLUE;MISTYROSE;0.8700106082737238
97;ALICEBLUE;MOCCASIN;0.8146573067613664
98;ALICEBLUE;NAVAJOWHITE;0.8055044754646478
99;ALICEBLUE;NAVY;0.3063039830666161
100;ALICEBLUE;OLDLACE;0.9040772662813737
101;ALICEBLUE;OLIVE;0.6138661333316895
102;ALICEBLUE;OLIVEDRAB;0.632948148228756
103;ALICEBLUE;ORANGE;0.6852467264266462
104;ALICEBLUE;ORANGERED;0.6179208937657525
105;ALICEBLUE;ORCHID;0.7418376055150737
106;ALICEBLUE;PALEGOLDENROD;0.796953012567178
107;ALICEBLUE;PALEGREEN;0.7457003319300084
108;ALICEBLUE;PALETURQUOISE;0.8594246387299466
109;ALICEBLUE;PALEVIOLETRED;0.6880813585472676
110;ALICEBLUE;PAPAYAWHIP;0.8666858130686588
111;ALICEBLUE;PEACHPUFF;0.8227484362724914
112;ALICEBLUE;PERU;0.67809446391962
